%Frame Number	x (image)	y (image)	x (world)	y (world)	Area	Orientation	Compactness	TimeStamp (ms)
654	467.563	303.659	0	0	2285.5	0.817343	0.747818	1519743963812
655	465.249	306.742	0	0	2286.5	0.821846	0.754513	1519743963858
656	459.851	313.553	0	0	2292.5	0.829458	0.738643	1519743963904
657	457.537	316.646	0	0	2298	0.852645	0.738599	1519743963958
658	452.904	322.607	0	0	2299	0.872575	0.724193	1519743964004
659	450.953	325.189	0	0	2289	0.913594	0.721043	1519743964049
660	448.693	328.155	0	0	2294.5	0.8843	0.74814	1519743964095
661	444.08	333.865	0	0	2282.5	0.836807	0.723232	1519743964140
662	441.455	336.746	0	0	2291	0.827661	0.74256	1519743964186
663	436.821	342.053	0	0	2300.5	0.860993	0.73504	1519743964232
664	434.785	344.521	0	0	2298.5	0.84495	0.749444	1519743964277
665	432.627	346.98	0	0	2304.5	0.855697	0.751401	1519743964322
666	430.177	349.81	0	0	2299.5	0.859913	0.740899	1519743964367
667	425.986	354.462	0	0	2317	0.906432	0.738503	1519743964412
668	423.76	356.801	0	0	2308	0.825327	0.74807	1519743964458
669	419.316	361.754	0	0	2317	0.898021	0.750987	1519743964504
670	417.064	364.079	0	0	2313	0.94915	0.734686	1519743964550
671	412.944	368.262	0	0	2314.5	1.00478	0.748331	1519743964595
672	410.825	370.213	0	0	2308	1.02916	0.74807	1519743964641
673	408.981	371.798	0	0	2307.5	0.99382	0.737276	1519743964686
674	406.792	373.83	0	0	2298	1.0408	0.766703	1519743964732
675	401.383	377.853	0	0	2312	1.15191	0.749366	1519743964778
676	398.808	379.474	0	0	2310	1.16811	0.748718	1519743964823
677	394.138	382.355	0	0	2296.5	1.21427	0.727668	1519743964869
678	391.312	383.783	0	0	2296.5	1.28103	0.719179	1519743964914
679	388.703	384.914	0	0	2296	1.27469	0.740525	1519743964968
680	384.424	386.369	0	0	2301	1.4228	0.76008	1519743965013
681	382.592	386.987	0	0	2290.5	1.52371	0.745755	1519743965060
682	379.739	387.72	0	0	2293	1.53584	0.761222	1519743965106
683	372.95	388.661	0	0	2281.5	1.66473	0.736598	1519743965151
684	369.781	388.92	0	0	2269	1.74649	0.778433	1519743965196
685	362.329	388.645	0	0	2262	1.88719	0.738299	1519743965241
686	358.519	388.07	0	0	2267.5	1.89187	0.712537	1519743965288
687	349.548	386.111	0	0	2285.5	1.9059	0.729201	1519743965333
688	345.681	385.133	0	0	2276	2.00561	0.762056	1519743965378
689	342.099	384.121	0	0	2275.5	2.02271	0.766518	1519743965424
690	337.953	382.814	0	0	2266	2.06883	0.761403	1519743965470
691	329.382	379.542	0	0	2279	2.10538	0.720366	1519743965516
692	325.246	377.755	0	0	2284	2.14537	0.751816	1519743965562
693	317.079	373.333	0	0	2210.5	2.18501	0.780459	1519743965607
694	313.674	371.4	0	0	2220	2.20909	0.80279	1519743965653
695	310.505	369.407	0	0	2215	2.2123	0.754485	1519743965699
696	307.554	367.634	0	0	2203.5	2.23045	0.771198	1519743965745
697	300.462	363.326	0	0	2213	2.27928	0.772542	1519743965789
698	296.934	360.788	0	0	2215	2.26658	0.80394	1519743965834
699	290.351	355.814	0	0	2229	2.29883	0.782125	1519743965880
700	287.046	353.373	0	0	2235	2.26936	0.777407	1519743965925
701	284.122	351.356	0	0	2233.5	2.27346	0.772118	1519743965978
702	277.995	347.166	0	0	2227.5	2.29857	0.776781	1519743966024
703	274.934	344.965	0	0	2225	2.26227	0.751394	1519743966070
704	268.455	340.225	0	0	2251.5	2.24786	0.755745	1519743966115
705	265.795	338.169	0	0	2254	2.24412	0.75469	1519743966162
706	262.887	336.119	0	0	2249	2.23906	0.768812	1519743966207
707	256.454	331.866	0	0	2252	2.27035	0.74498	1519743966253
708	253.31	329.64	0	0	2241	2.28716	0.772742	1519743966298
709	247.113	324.983	0	0	2239	2.25577	0.76266	1519743966344
710	244.038	322.733	0	0	2239.5	2.27826	0.774192	1519743966388
711	240.784	320.323	0	0	2262	2.26177	0.770494	1519743966435
712	238.079	318.338	0	0	2253	2.27616	0.770179	1519743966481
713	232.587	314.627	0	0	2253.5	2.28876	0.77508	1519743966526
714	229.895	312.524	0	0	2253.5	2.29374	0.762937	1519743966571
715	223.079	307.588	0	0	2242.5	2.32751	0.752724	1519743966616
716	219.308	304.81	0	0	2249	2.30365	0.772719	1519743966662
717	216.024	302.46	0	0	2262	2.27932	0.773256	1519743966707
718	210.259	298.66	0	0	2252	2.29659	0.757813	1519743966752
719	207.769	296.845	0	0	2252	2.26532	0.767088	1519743966796
720	204.817	294.875	0	0	2244	2.28193	0.769856	1519743966843
721	198.508	290.566	0	0	2243.5	2.2594	0.778375	1519743966889
722	195.264	288.396	0	0	2244	2.22407	0.767102	1519743966935
723	188.402	284.165	0	0	2251.5	2.24142	0.78115	1519743966988
724	185.357	282.25	0	0	2250	2.22582	0.759837	1519743967037
725	178.639	278.235	0	0	2247	2.19801	0.761531	1519743967083
726	175.293	276.054	0	0	2246	2.19375	0.790956	1519743967130
727	172.368	274.216	0	0	2246.5	2.22919	0.772672	1519743967177
728	166.61	270.668	0	0	2238.5	2.25694	0.793228	1519743967222
729	163.906	269.039	0	0	2239	2.28826	0.765393	1519743967268
730	161.038	267.132	0	0	2231.5	2.27245	0.764764	1519743967314
731	154.917	262.798	0	0	2221	2.30232	0.798986	1519743967360
732	151.799	260.393	0	0	2227.5	2.27339	0.779597	1519743967405
733	148.66	258.219	0	0	2228.5	2.23671	0.770389	1519743967450
734	143.583	254.712	0	0	2207	2.30218	0.791041	1519743967496
735	141.027	252.928	0	0	2225	2.35594	0.769991	1519743967542
736	134.102	247.272	0	0	2327.5	-0.653115	0.768042	1519743967606
737	131.708	245.143	0	0	2316.5	-0.659204	0.748977	1519743967651
738	129.606	243.046	0	0	2313.5	-0.633787	0.739194	1519743967696
739	127.133	240.705	0	0	2308	-0.647856	0.763505	1519743967743
740	124.999	238.481	0	0	2307	-0.641931	0.763175	1519743967789
741	121.376	234.725	0	0	2291	-0.615699	0.764367	1519743967836
742	119.98	232.919	0	0	2291.5	-0.543906	0.756163	1519743967881
743	117.807	230.058	0	0	2309	-0.498819	0.763836	1519743967926
744	116.484	228.391	0	0	2290	-0.447578	0.757551	1519743967979
745	114.118	224.296	0	0	2275.5	-0.268011	0.792332	1519743968024
746	113.073	221.675	0	0	2273.5	-0.236656	0.772458	1519743968073
747	112.02	218.865	0	0	2260	-0.174335	0.782103	1519743968119
748	110.44	213.271	0	0	2255.5	-0.098355	0.782538	1519743968164
749	109.967	210.513	0	0	2255.5	-0.0185513	0.785368	1519743968209
750	109.446	207.389	0	0	2250.5	0.0513796	0.776835	1519743968255
751	109.355	199.871	0	0	2248.5	0.158184	0.769447	1519743968301
752	109.701	195.942	0	0	2251	0.172787	0.740954	1519743968347
753	110.779	188.235	0	0	2221	0.294867	0.768607	1519743968393
754	111.675	183.668	0	0	2241.5	0.291547	0.757756	1519743968440
755	112.592	179.614	0	0	2241.5	0.367303	0.787347	1519743968486
756	114.721	172.869	0	0	2222	0.433029	0.768953	1519743968531
757	116.193	169.232	0	0	2225.5	0.48699	0.758856	1519743968576
758	117.786	165.348	0	0	2228.5	0.500442	0.775967	1519743968622
759	121.848	157.166	0	0	2239	0.500722	0.75882	1519743968668
760	123.463	153.749	0	0	2237	0.565702	0.780921	1519743968714
761	127.243	146.783	0	0	2234	0.60389	0.751756	1519743968759
762	128.998	143.622	0	0	2219	0.72241	0.771842	1519743968806
763	131.064	140.419	0	0	2236.5	0.743386	0.769233	1519743968851
764	133.241	137.127	0	0	2232.5	0.684354	0.752033	1519743968897
765	138.071	130.501	0	0	2240.5	0.741766	0.761246	1519743968951
766	142.214	124.645	0	0	2253.5	0.771206	0.749979	1519743968997
767	144.207	122.04	0	0	2250.5	0.874725	0.745252	1519743969043
768	146.411	119.155	0	0	2254.5	0.873652	0.702617	1519743969088
769	151.35	113.086	0	0	2243.5	0.907108	0.727907	1519743969133
770	154.076	109.974	0	0	2219	0.904135	0.758556	1519743969179
771	156.612	107.154	0	0	2237.5	0.841443	0.723435	1519743969224
772	161.264	101.757	0	0	2221.5	0.69069	0.748328	1519743969269
773	163.169	99.4505	0	0	2218.5	0.755889	0.744668	1519743969317
774	165.478	96.729	0	0	2218.5	0.716042	0.747317	1519743969363
775	170.213	91.7855	0	0	2228.5	0.761683	0.77317	1519743969408
776	172.944	88.8999	0	0	2229.5	0.79851	0.754812	1519743969454
777	175.388	86.4399	0	0	2236.5	0.846787	0.769233	1519743969500
778	179.684	82.0538	0	0	2227.5	0.940166	0.766137	1519743969546
779	182.163	79.6855	0	0	2227	0.917202	0.77743	1519743969592
780	186.257	75.5472	0	0	2173.5	0.977769	0.779871	1519743969637
781	188.217	74.3442	0	0	2084.5	0.983243	0.747937	1519743969682
782	190.613	72.2522	0	0	2070.5	0.954167	0.769946	1519743969728
783	195.962	68.6899	0	0	2052.5	0.962896	0.744156	1519743969774
784	198.581	67.1488	0	0	2031	0.930658	0.760095	1519743969820
785	201.151	65.6127	0	0	2034	0.791819	0.788275	1519743969868
786	205.798	63.2651	0	0	1987	0.930658	0.78746	1519743969913
787	208.599	61.8153	0	0	1989.5	1.0851	0.763133	1519743969965
