%Frame Number	x (image)	y (image)	x (world)	y (world)	Area	Orientation	Compactness	TimeStamp (ms)
433	503.302	380.915	0	0	2764.5	0.641806	0.854492	1523020150578
434	502.334	383.928	0	0	2760.5	0.626552	0.853256	1523020150610
435	501.329	387.078	0	0	2754	0.611127	0.863318	1523020150642
436	500.344	390.1	0	0	2754.5	0.6216	0.861385	1523020150674
437	499.118	393.507	0	0	2756.5	0.685458	0.842202	1523020150706
438	497.995	396.543	0	0	2772	0.702257	0.851852	1523020150738
439	497.197	398.879	0	0	2764	0.7144	0.849394	1523020150770
440	496.261	400.892	0	0	2762.5	0.772421	0.853874	1523020150802
441	495.343	402.582	0	0	2765.5	0.827848	0.838089	1523020150835
442	494.692	403.543	0	0	2765.5	0.837612	0.831309	1523020150882
443	494.352	404.061	0	0	2758.5	0.823126	0.829205	1523020150915
444	493.949	404.691	0	0	2751	0.829356	0.845399	1523020150946
445	493.601	405.287	0	0	2741	0.79633	0.845193	1523020150979
446	493.235	405.79	0	0	2737	0.795043	0.850931	1523020151011
447	492.388	406.735	0	0	2735	0.795607	0.843343	1523020151043
448	490.949	408.133	0	0	2736	0.853675	0.836767	1523020151075
449	489.041	409.644	0	0	2733	0.846043	0.801143	1523020151107
450	487.449	410.685	0	0	2725.5	0.87371	0.797074	1523020151139
451	485.494	411.598	0	0	2758.5	0.739359	0.842813	1523020151171
452	483.271	412.52	0	0	2744.5	0.792327	0.831725	1523020151203
453	481.114	413.305	0	0	2740.5	0.87406	0.690693	1523020151252
454	478.534	413.773	0	0	2727.5	0.924011	0.720408	1523020151283
455	475.92	414.114	0	0	2717.5	1.0142	0.704779	1523020151315
456	473.356	414.176	0	0	2708.5	1.12692	0.715389	1523020151347
457	469.413	413.656	0	0	2711.5	1.06402	0.703223	1523020151379
458	464.638	412.553	0	0	2717.5	1.05813	0.687006	1523020151410
459	459.903	411.1	0	0	2704.5	1.07883	0.719791	1523020151443
460	455.569	409.464	0	0	2697	1.21691	0.71394	1523020151475
461	451.157	407.424	0	0	2691.5	1.09636	0.76358	1523020151507
462	446.517	405.129	0	0	2682	0.968903	0.704599	1523020151539
463	442.07	402.488	0	0	2695.5	1.00406	0.679351	1523020151570
464	437.536	399.412	0	0	2691	1.01054	0.671756	1523020151618
465	433.604	396.804	0	0	2676	1.13347	0.716063	1523020151652
466	429.614	393.948	0	0	2698	0.926494	0.703462	1523020151683
467	425.953	391.122	0	0	2703	0.852169	0.715528	1523020151715
468	422.305	388.191	0	0	2697.5	0.879109	0.712484	1523020151746
469	418.762	385.401	0	0	2721	0.950435	0.714845	1523020151778
470	415.638	382.869	0	0	2702.5	0.938697	0.706196	1523020151810
471	412.088	379.959	0	0	2706	0.902515	0.710905	1523020151842
472	408.602	377.144	0	0	2711	0.807794	0.788371	1523020151874
473	405.474	374.524	0	0	2703.5	1.04108	0.781776	1523020151906
474	401.854	371.629	0	0	2716	0.806391	0.792439	1523020151938
475	398.538	368.829	0	0	2713.5	0.830939	0.809106	1523020151986
476	395.347	366.058	0	0	2705	0.855529	0.808482	1523020152018
477	392.138	363.47	0	0	2703.5	0.946864	0.784357	1523020152052
478	388.926	360.833	0	0	2707	0.975977	0.76621	1523020152257
498	186.887	220.369	0	0	2742	-0.11681	0.898107	1523020152914
499	183.635	218.124	0	0	2757.5	-0.117642	0.897804	1523020152946
500	180.42	215.936	0	0	2759	-0.0587541	0.903675	1523020152978
501	177.727	214.29	0	0	2765	-0.012534	0.8949	1523020153010
502	175.471	212.752	0	0	2764	-0.0230735	0.894577	1523020153042
503	172.64	210.928	0	0	2763	-0.0993221	0.894253	1523020153090
504	169.739	208.928	0	0	2764	-0.014994	0.894577	1523020153122
505	166.935	207.032	0	0	2774	0.0139412	0.890309	1523020153154
506	163.971	204.891	0	0	2774	0.0303898	0.890309	1523020153186
507	161.246	202.858	0	0	2772	0.216469	0.897166	1523020153218
508	158.488	201.045	0	0	2776.5	0.213125	0.885858	1523020153251
509	156.064	199.502	0	0	2770	0.142782	0.889025	1523020153284
510	153.21	197.683	0	0	2775.5	0.161661	0.903665	1523020153315
511	150.258	195.797	0	0	2777	0.201703	0.898784	1523020153347
512	147.35	193.922	0	0	2786	0.23615	0.894161	1523020153379
513	144.559	192.042	0	0	2789	0.226179	0.895123	1523020153427
514	141.664	190.123	0	0	2799.5	0.256835	0.893196	1523020153459
515	139.288	188.445	0	0	2794.5	0.230142	0.873894	1523020153491
516	136.818	186.793	0	0	2802.5	0.280636	0.883686	1523020153523
517	134.567	184.979	0	0	2809	0.285864	0.890958	1523020153555
